,Latitude,Longitude,Structure_Material,Structure_Type,Town,Bridge_Owner,Bridge_Identification_Number__B,Year_Built,Year_Reconstructed,Structure_Length,Structurally_Deficient,Structure_Category
5050,42.39472222,-72.59411111,1.0,19,Hatfield,0,BVH,1960,0,3.7,0,2
5056,42.246167,-71.833318,1.0,2,Worcester,0,20B,1931,0,12.2,0,1
5057,42.29914397,-71.804111,1.0,2,Worcester,0,20C,1977,0,82.3,0,1
5058,42.29446,-71.63727797,6.0,1,Northborough,0,20D,1947,0,21.9,0,1
5059,42.346536,-71.62430883,1.0,2,Northborough,0,20E,1968,1996,91.4,0,1
5060,42.32375783,-71.794227,1.0,2,Worcester,0,20F,1985,0,29.3,0,1
5061,42.673819,-72.71874097,1.0,2,Colrain,0,0GH,1939,0,12.5,0,1
5062,42.67607797,-72.71332097,3.0,5,Colrain,0,0GK,1939,1995,34.1,0,1
5063,42.671855,-72.764436,2.0,19,Colrain,0,0GM,1990,0,6.1,0,1
5064,42.675595,-72.7493,1.0,2,Colrain,0,0GN,1940,1989,22.3,0,1
5065,42.698186,-72.664918,3.0,2,Colrain,0,0GP,1972,0,24.1,0,1
5066,42.34380833,-71.06158333,7.0,21,Boston,0,9RM,2004,0,80.3,0,1
5067,42.34296,-71.062006,7.0,21,Boston,0,9RN,2004,0,172.2,0,1
5068,42.34716667,-71.06052778,7.0,2,Boston,0,9RP,2000,0,61.8,0,1
5069,42.34436111,-71.06177778,7.0,2,Boston,0,9RQ,2003,0,33.9,0,1
5070,42.347777,-71.05961897,2.0,0,Boston,0,9RR,2003,0,23.3,0,1
5071,42.524377,-71.50495383,4.0,2,Littleton,0,27M,1959,2015,54.2,0,1
5072,42.524869,-71.50522983,4.0,2,Littleton,0,27N,1959,2015,54.9,0,1
5073,42.54303397,-71.48957697,2.0,19,Littleton,0,27P,1962,0,14.9,0,1
5074,42.148352,-71.989114,5.0,11,Charlton,0,6N4,1915,0,4.7,1,2
5075,42.13852897,-71.91198597,5.0,11,Charlton,0,6N5,1900,1928,5.1,1,2
5076,42.12718497,-72.03085697,1.0,19,Charlton,0,6N6,2013,0,1.8,0,3
5078,42.17,-71.98333333,1.0,19,Charlton,0,6N8,1975,0,2.4,0,3
5079,42.144838,-72.005823,1.0,11,Charlton,0,6N9,1975,0,3.9,0,2
5080,42.35722797,-71.09265297,1.0,2,Cambridge,0,4DQ,1931,2003,15.8,0,1
5081,42.39621667,-71.14072222,2.0,5,Cambridge,0,4DR,1983,0,22.6,0,1
5082,42.41803397,-71.1126,2.0,11,Medford,0,4DT,1906,0,19.5,0,1
5083,42.418159,-71.12676197,2.0,11,Medford,0,4DU,1906,0,18.3,0,1
5089,42.33537583,-71.66154883,2.0,19,Northborough,0,6U5,1968,0,2.4,0,2
5092,42.732277,-70.98724697,2.0,1,Georgetown,0,89L,1900,1950,3.4,0,2
5099,42.607385,-71.92070997,2.0,19,Ashburnham,0,705,1938,0,4.1,0,2
5102,42.043244,-72.37269,3.0,1,Hampden,0,0QE,1956,0,7.3,0,1
5103,42.04549697,-72.383576,2.0,19,Hampden,0,0QF,1986,0,7.0,1,1
5104,42.04847697,-72.45376197,1.0,2,Hampden,0,0QG,1956,0,19.5,0,1
5105,42.05125697,-72.38494,3.0,1,Hampden,0,0QH,1956,0,10.1,0,1
5106,42.054811,-72.439203,1.0,2,Hampden,0,0QJ,1956,0,20.7,0,1
5107,42.203358,-71.10201897,2.0,19,Randolph,0,8KY,1958,0,4.0,0,2
5112,42.187541,-70.934306,2.0,19,Weymouth,0,8L4,1957,1980,5.5,0,2
5113,42.211745,-72.59612197,4.0,2,Holyoke,0,AA5,1990,0,496.6,0,1
5114,42.20883597,-72.596975,3.0,5,Holyoke,0,0VG,1990,0,50.0,0,1
5115,42.24616667,-72.58069444,1.0,2,South Hadley,0,0VH,1950,0,16.5,0,1
5116,42.277737,-72.562106,3.0,1,South Hadley,0,0VJ,1956,0,12.2,0,1
5117,42.43418297,-72.545658,2.0,1,Sunderland,0,0VK,1956,0,7.6,0,1
5122,42.370831,-71.06928,7.0,21,Boston,0,8QG,2002,0,103.6,0,1
5123,42.34545556,-71.05999444,7.0,21,Boston,0,8QX,2002,0,200.2,0,1
5124,42.34384167,-71.06119167,7.0,21,Boston,0,8QY,2002,0,203.2,0,1
5125,42.342837,-71.06179097,7.0,21,Boston,0,8R0,2002,0,188.6,0,1
5126,42.66117778,-72.54597778,1.0,2,Bernardston,0,0WV,1960,1977,49.2,0,1
5127,42.66169167,-72.54615278,1.0,2,Bernardston,0,0WW,1960,1977,50.0,0,1
5128,42.663732,-72.54446797,1.0,2,Bernardston,0,0WX,1960,1978,62.2,0,1
5129,42.664147,-72.54483797,1.0,2,Bernardston,0,0WY,1960,1978,63.6,0,1
5130,42.679876,-72.541756,2.0,19,Bernardston,0,0X0,1958,0,6.1,0,1
5131,42.60501111,-71.32465278,4.0,2,Chelmsford,0,8VV,2004,0,96.0,0,1
5132,42.15082497,-72.52756997,1.0,2,Springfield,0,14H,1968,0,28.1,0,1
5133,42.11547778,-72.58186667,1.0,2,Springfield,0,14J,1934,0,28.7,1,1
5134,42.126365,-72.56701997,1.0,2,Springfield,0,14K,1956,1969,26.3,1,1
5135,42.14038806,-72.52435194,1.0,2,Springfield,0,14L,1920,0,22.3,0,1
5136,42.11491667,-72.58116667,1.0,2,Springfield,0,14M,1934,0,19.5,0,1
